Soil Temperature,N,P,K,Moisture,Humidity,Ambient Temperature
22.8,232,67,96,190,51.4,27.8
22.9,231,67,96,192,51.4,27.9
22.9,231,68,96,189,51.5,27.9
22.9,231,67,94,188,51.3,27.9
22.9,232,68,96,190,51.3,27.9
22.9,234,68,94,188,51.2,27.9
22.9,234,66,93,186,51.5,27.9
22.9,234,68,96,190,51.4,27.9
22.9,240,68,93,190,51.2,27.9
22.8,239,67,94,185,51.3,27.8
22.9,237,68,93,186,51.3,27.9
22.9,237,66,91,185,51.2,27.9
22.8,227,67,91,186,51.4,27.8
22.8,225,66,93,183,51.5,27.8
22.8,225,67,96,195,51.3,27.8
22.8,227,67,92,183,51.5,27.8
22.7,224,67,94,186,51.7,27.7
22.6,224,67,94,182,51.6,27.6
22.6,225,67,96,195,51.5,27.6
22.7,224,67,94,186,51.4,27.7
22.7,222,67,94,185,51.5,27.7
22.7,224,67,93,188,51.5,27.7
22.6,224,67,94,188,51.6,27.6
22.6,224,67,95,185,51.7,27.6
22.6,222,67,92,188,51.5,27.6
22.7,218,67,94,190,51.4,27.7
22.7,219,66,94,188,51.2,27.7
22.7,220,67,94,190,51.5,27.7
22.7,219,65,94,188,51.3,27.7
22.7,219,67,93,189,51.5,27.7
22.7,219,67,92,185,51.4,27.7
22.7,220,67,94,186,51.2,27.7
22.7,218,68,94,188,51.2,27.7
22.7,218,68,94,189,51.3,27.7
22.7,219,68,94,186,50.9,27.7
22.8,219,66,94,189,50.9,27.8
22.7,209,67,93,189,50.9,27.7
22.7,206,67,94,188,51.2,27.7
22.7,201,68,94,190,50.9,27.7
22.7,197,67,95,190,51.2,27.7
22.6,189,67,94,188,50.9,27.6
22.7,189,67,93,190,50.9,27.7
22.7,189,66,93,186,50.8,27.7
22.6,182,67,95,189,50.8,27.6
22.6,182,67,94,188,51,27.6
22.5,179,67,94,188,51.1,27.5
22.5,181,65,92,186,51.4,27.5
22.5,179,65,90,188,51.1,27.5
22.5,181,66,93,186,51.2,27.5
22.4,180,65,91,183,51.4,27.4
22.4,182,66,91,182,51.6,27.4
22.3,181,65,93,186,51.6,27.3
22.3,180,65,94,182,51.4,27.3
22.3,182,67,93,186,51.4,27.3
22.4,180,66,93,186,51.5,27.4
22.3,179,66,94,188,51.6,27.3
22.3,179,67,93,186,51.5,27.3
22.3,179,67,92,188,51.4,27.3
22.4,179,67,91,186,51.1,27.4
22.4,179,67,93,185,51.4,27.4
22.4,179,66,93,185,51.5,27.4
22.3,178,67,94,189,51.3,27.3
22.3,179,67,94,188,51.5,27.3
22.3,178,66,93,185,51.5,27.3
22.3,179,67,92,186,51.3,27.3
22.3,179,65,93,185,50.9,27.3
22.4,178,67,93,185,50.7,27.4
22.5,179,66,92,186,50.5,27.5
22.5,179,66,91,183,50.4,27.5
22.4,178,67,91,185,50.8,27.4
22.4,179,68,95,190,50.9,27.4
22.4,179,66,92,186,50.8,27.4
22.4,178,66,89,180,50.8,27.4
22.4,178,66,92,185,50.8,27.4
22.3,178,66,92,185,50.9,27.3
22.3,178,66,93,186,50.9,27.3
22.2,179,67,94,183,50.8,27.2
22.3,178,66,92,183,50.7,27.3
22.3,178,66,91,180,50.5,27.3
22.3,179,66,93,188,50.7,27.3
22.3,179,66,91,183,50.5,27.3
22.3,178,66,93,185,50.3,27.3
22.4,179,67,94,186,50.2,27.4
22.4,179,67,91,183,50.2,27.4
22.4,179,64,90,183,50.3,27.4
22.3,179,66,94,188,50.2,27.3
22.3,176,65,91,183,50.6,27.3
22.3,175,67,92,182,50.3,27.3
22.3,176,66,92,183,50.4,27.3
22.2,175,65,89,180,50.6,27.2
26,227,49,69,136,40.1,31
25.9,227,50,70,138,40.3,30.9
25.9,225,49,70,140,40.5,30.9
25.7,222,49,70,139,41,30.7
25.9,223,50,70,136,41.5,30.9
25.9,224,50,69,140,40.4,30.9
25.8,222,49,69,139,40.5,30.8
26,225,49,69,141,41.5,31
26.3,224,49,69,139,40,31.3
26.3,222,49,69,138,40,31.3
26.1,224,50,70,137,39.7,31.1
25.8,223,49,68,136,39.6,30.8
25.6,224,49,69,137,40.8,30.6
25.7,224,48,69,138,41.1,30.7
25.8,224,49,70,136,41.9,30.8
26,225,49,66,135,41.4,31
26.2,227,49,69,136,39.7,31.2
26.1,226,49,68,137,39.6,31.1
26.2,225,49,69,139,40.4,31.2
26.4,225,48,68,136,39.5,31.4
26.5,225,48,68,138,40.1,31.5
26.7,228,49,68,137,40.2,31.7
26.8,227,50,69,138,39.4,31.8
27.2,225,49,69,137,40.5,32.2
27.4,226,49,70,141,38.6,32.4
27.5,228,49,69,141,38.4,32.5
27.3,225,50,69,139,37.9,32.3
27.2,225,50,70,140,38.3,32.2
26.7,226,50,71,140,38,31.7
26.3,226,49,69,141,38.5,31.3
26,225,48,68,139,39.2,31
25.7,224,49,70,141,39.9,30.7
25.5,225,49,68,136,40.4,30.5
25.4,225,50,70,138,40.9,30.4
25.5,228,49,70,139,41.1,30.5
25.8,225,49,70,139,41,30.8
25.9,228,49,69,137,39.7,30.9
26.1,225,49,68,137,39.9,31.1
26.1,227,50,71,140,39.4,31.1
26,226,49,68,139,39.2,31
26,226,49,69,139,39.7,31
26.2,227,50,71,140,39.7,31.2
26.4,227,49,69,138,39.8,31.4
26.5,226,49,68,139,38.6,31.5
26.5,226,49,69,139,39.2,31.5
26.7,221,49,69,137,39.6,31.7
26.9,223,50,69,139,39.2,31.9
26.9,225,49,70,139,38.5,31.9
26.6,223,49,69,139,38.4,31.6
26.5,222,49,70,140,38.3,31.5
26.4,223,50,70,139,39.2,31.4
26.4,222,49,69,137,38.7,31.4
26.4,223,48,69,139,39.1,31.4
26.6,222,50,70,139,39.1,31.6
27,222,50,70,142,38.8,32
27.2,222,50,70,138,38.6,32.2
27.4,223,49,70,141,38.7,32.4
27.4,224,49,70,139,37.6,32.4
26.9,223,50,69,140,37.3,31.9
26.5,223,49,68,139,38.3,31.5
26.3,217,49,68,138,38.7,31.3
26.2,222,50,70,141,39.1,31.2
26.2,222,50,70,140,39.3,31.2
26.2,221,50,71,139,39.1,31.2
26.1,221,49,70,142,39.5,31.1
26.1,223,50,70,141,39.1,31.1
26.3,220,51,69,142,39.6,31.3
26.5,222,49,69,137,39.3,31.5
26.5,220,50,70,142,38.4,31.5
26.6,221,50,69,138,38.9,31.6
26.5,219,49,69,139,38.5,31.5
26.7,218,49,70,141,39.3,31.7
26.7,218,50,71,142,38.6,31.7
26.8,219,49,70,141,38.3,31.8
26.7,221,49,70,144,39,31.7
26.7,220,49,70,139,39.1,31.7
26.9,220,51,71,143,39.4,31.9
27.1,219,50,69,141,38.3,32.1
27.1,220,50,70,139,38.6,32.1
26.8,219,50,71,143,38.4,31.8
26.9,219,50,70,140,38.6,31.9
26.8,220,51,71,142,38,31.8
26.8,219,50,70,140,39.1,31.8
26.8,220,50,69,137,38.4,31.8
27,219,50,71,141,39.1,32
26.9,220,50,70,141,38.6,31.9
26.9,220,50,70,143,39,31.9
26.9,220,49,69,140,38.9,31.9
27.1,219,49,69,141,38.2,32.1
27.2,220,50,71,139,38.9,32.2
27.3,219,50,68,140,38.8,32.3
27.4,219,50,71,142,38.6,32.4
27.5,217,50,71,140,38.1,32.5
27.7,218,49,69,140,37.2,32.7
27.3,219,51,72,143,36.9,32.3
27.2,219,51,70,142,37.2,32.2
27.2,219,51,71,143,38.1,32.2
27.2,219,51,70,140,38.3,32.2
27,220,51,72,144,37.7,32
26.9,219,51,71,143,38.3,31.9
26.9,220,50,70,142,38.4,31.9
26.9,219,50,70,142,38.4,31.9
27,216,51,72,143,38.4,32
27.1,219,50,70,140,38.3,32.1
27.1,218,50,71,142,38.4,32.1
27.1,218,50,70,142,38.3,32.1
27.1,217,49,70,142,38.5,32.1
27.1,219,50,70,140,38.4,32.1
27,219,50,70,143,38.9,32
26.7,214,51,71,144,39,31.7
26.6,216,50,71,142,39.5,31.6
26.9,215,51,72,142,39.6,31.9
27.2,216,51,71,142,38.8,32.2
27.4,217,50,71,142,39.7,32.4
27.7,219,50,70,143,38.8,32.7
27.7,216,51,71,143,37.8,32.7
27.9,217,51,72,142,38,32.9
27.8,217,50,71,140,37,32.8
27.8,216,51,71,144,37.9,32.8
27.8,217,51,72,142,38,32.8
27.6,217,51,71,143,37.8,32.6
27.4,216,50,70,144,37.1,32.4
27.3,216,51,70,141,37.9,32.3
27.4,216,51,72,142,37.6,32.4
27.5,216,51,71,141,38.1,32.5
27.7,216,50,70,144,38.7,32.7
27.9,217,51,71,139,36.8,32.9
28,218,50,72,142,37.7,33
28,216,51,71,143,36.7,33
28.1,217,50,70,141,36.3,33.1
28.1,214,51,73,147,36.8,33.1
28.2,216,50,71,142,36.9,33.2
28,216,51,72,143,36.8,33
28.1,216,51,72,144,37.7,33.1
28.2,217,51,70,139,36.5,33.2
28.2,216,51,71,142,36.8,33.2
28,214,51,71,141,36.3,33
27.8,206,51,72,144,36.6,32.8
27.8,211,51,72,144,36.9,32.8
27.5,207,50,70,142,37,32.5
27.4,205,51,71,143,37.5,32.4
27.2,208,50,72,142,37.5,32.2
27.2,208,51,72,142,38,32.2
27.3,206,51,71,142,37.5,32.3
27.3,206,50,71,144,37.5,32.3
27.4,208,50,71,143,37.6,32.4
27.7,208,51,72,144,38.1,32.7
27.9,207,51,71,144,37.8,32.9
28.1,207,51,71,142,37.6,33.1
28.3,208,51,73,146,36.8,33.3
28.5,203,50,70,143,36.7,33.5
28.7,208,51,71,142,36.9,33.7
28.8,208,50,71,144,35.9,33.8
29,208,50,70,143,34.9,34
29.1,205,51,72,143,34.7,34.1
29,205,51,71,144,34,34
28.9,205,51,72,142,35.1,33.9
28.8,205,51,72,144,35.2,33.8
28.7,205,51,73,144,35.4,33.7
28.6,204,50,70,143,36.1,33.6
28.6,204,50,72,147,36,33.6
28.4,203,51,72,142,36.1,33.4
28.1,205,52,71,143,35.5,33.1
27.8,205,51,72,144,35.9,32.8
27.6,205,51,72,144,36.2,32.6
27.4,204,50,72,144,36.5,32.4
27.4,204,51,72,144,36.6,32.4
27.2,196,51,71,143,36.8,32.2
27.3,196,51,72,144,37.4,32.3
27.5,196,50,71,142,37,32.5
27.9,197,51,72,144,36.5,32.9
28.1,197,51,72,144,36,33.1
28.2,197,51,72,143,36,33.2
28.4,198,50,71,143,35.4,33.4
28.4,197,50,70,140,36.8,33.4
28.5,197,50,70,142,35.5,33.5
28.3,197,51,71,144,34.8,33.3
28,198,51,71,144,35.5,33
27.9,197,50,70,143,35.7,32.9
27.9,198,51,72,143,36.3,32.9
27.9,198,51,72,142,36.1,32.9
27.7,199,50,71,142,36.2,32.7
27.7,199,51,71,142,36.2,32.7
27.7,198,50,71,141,35.9,32.7
27.8,199,50,71,143,36.2,32.8
27.8,199,50,70,139,35.9,32.8
27.7,197,51,71,143,35.6,32.7
27.5,193,50,70,140,35.9,32.5
27.2,190,51,70,142,36.4,32.2
27.2,194,50,70,143,36.8,32.2
27.1,195,50,70,140,36.2,32.1
27.1,194,51,71,140,37.1,32.1
27.2,195,50,71,143,36.7,32.2
27.4,197,50,70,143,37,32.4
27.4,196,50,69,143,36.1,32.4
27.5,198,51,71,143,35.7,32.5
27.4,196,50,71,143,35.9,32.4
27.2,196,49,69,140,35.8,32.2
27.3,196,50,70,140,36,32.3
27.4,195,50,71,140,36.1,32.4
27.5,197,50,71,141,35.3,32.5
27.7,195,50,70,140,35.4,32.7
27.9,196,50,70,141,35.2,32.9
27.7,198,50,70,140,35.4,32.7
27.9,199,50,70,140,35.7,32.9
27.9,199,50,70,142,35.1,32.9
28,200,49,69,139,35.1,33
28,200,50,69,139,35.1,33
28.1,200,49,69,138,35,33.1
28.3,200,50,70,141,34.6,33.3
28.3,201,50,71,141,34.7,33.3
28.4,201,50,70,140,34.4,33.4
28.5,201,50,70,141,34.3,33.5
28.5,202,50,70,138,34.1,33.5
28.6,202,49,68,135,34.2,33.6
28.7,202,50,69,138,34.1,33.7
28.5,202,50,69,138,33.7,33.5
28.4,202,48,67,135,33.9,33.4
28.4,202,49,69,138,33.9,33.4
28.5,202,50,70,139,33.9,33.5
28.7,202,50,69,140,33.2,33.7
28.8,202,49,69,137,33.4,33.8
29,202,49,68,137,33.7,34
29,202,50,71,140,33.4,34
29.1,202,49,67,139,32.3,34.1
29,202,49,69,139,33.1,34
28.9,202,49,70,140,32.6,33.9
28.9,203,50,70,140,33.1,33.9
29.4,202,48,68,137,33.5,34.4
29.3,202,49,69,141,31.9,34.3
29.2,202,49,70,140,32.6,34.2
29.4,201,50,69,137,32.1,34.4
29.7,202,49,69,138,31.5,34.7
29.8,202,50,68,137,31.3,34.8
29.8,202,50,69,138,31.7,34.8
29.8,202,49,69,135,31.7,34.8
29.5,200,50,69,135,31.7,34.5
29.6,199,49,69,139,31.8,34.6
30,199,49,66,134,32.3,35
30.3,200,49,67,140,31.2,35.3
30.3,200,49,68,139,30.9,35.3
30.1,200,50,70,138,30.7,35.1
30.1,200,49,68,138,31.5,35.1
30.3,200,49,68,138,31.5,35.3
30.6,200,49,68,138,31.6,35.6
30.8,199,49,70,140,30.3,35.8
30.8,200,48,67,137,30.2,35.8
30.9,201,50,69,137,30.5,35.9
31.1,199,49,69,140,30.6,36.1
31.3,201,49,69,137,29.8,36.3
31.1,201,49,70,137,31.1,36.1
31,202,49,70,139,29.5,36
30.7,201,50,70,140,29.6,35.7
30.9,201,50,69,138,31.1,35.9
31,200,50,71,141,29.6,36
30.7,199,49,69,139,30.2,35.7
30,200,49,68,139,31.1,35
28.9,199,48,69,137,32.1,33.9
28.4,199,49,69,141,33.3,33.4
28.2,198,49,68,137,34.9,33.2
28.2,199,49,69,138,35.7,33.2
28.2,199,50,71,142,35.2,33.2
28.4,199,50,69,138,35.2,33.4
28.5,199,49,68,134,34.3,33.5
28.8,199,49,68,138,34.1,33.8
29,199,50,68,140,33.9,34
29.6,200,49,70,137,33.6,34.6
29.9,200,49,69,137,32.6,34.9
30.1,199,49,68,139,32.7,35.1
30.3,200,48,69,137,31.7,35.3
30,199,49,68,137,31.6,35
30.1,200,48,68,138,32.2,35.1
30.3,199,49,69,140,32,35.3
30.7,199,49,67,137,31.3,35.7
31.1,199,49,67,135,30.3,36.1
31.3,199,49,68,138,30,36.3
31.4,199,48,69,137,30.8,36.4
31.8,199,49,69,138,29.5,36.8
32.2,200,49,69,135,29.1,37.2
32.4,200,49,69,135,27.5,37.4
32.4,199,50,70,140,28,37.4
32.6,200,48,67,133,28,37.6
32.7,199,48,67,137,27.4,37.7
32.9,199,49,69,139,26.9,37.9
32.6,199,49,69,138,27.4,37.6
32.4,196,50,67,137,27.8,37.4
32.2,196,49,69,141,28.2,37.2
32,197,49,68,137,26.9,37
31.5,197,49,68,139,27.2,36.5
31.1,198,50,68,136,28.5,36.1
31.2,198,48,69,139,28.6,36.2
31,199,49,69,137,29,36
30.8,199,49,69,137,29.2,35.8
30.8,199,49,69,138,29.4,35.8
30.3,199,50,70,139,30.7,35.3
30.3,200,49,67,134,31.2,35.3
30.3,200,49,67,135,31.2,35.3
30.4,200,49,68,134,31.7,35.4
30.3,199,50,69,139,31.1,35.3
30.3,200,48,67,138,31.1,35.3
30.7,200,48,67,134,30.9,35.7
31,200,50,70,140,30.8,36
31.4,200,49,67,137,30.2,36.4
31.4,200,48,69,138,30.2,36.4
31.2,201,49,68,139,29.4,36.2
31.4,201,48,68,140,30.5,36.4
31.8,200,49,69,138,30.3,36.8
32,199,49,69,139,28.6,37
32.1,201,49,69,137,28.5,37.1
31.8,199,49,69,138,28.5,36.8
31.3,199,48,67,132,28.8,36.3
30.9,199,50,70,140,30,35.9
30.7,201,50,71,135,30.8,35.7
30.2,199,49,69,137,31,35.2
30.2,200,49,67,138,31.8,35.2
30.2,199,48,68,135,31.5,35.2
30.1,200,49,69,135,31.5,35.1
30.2,200,49,69,138,31.5,35.2
30.1,199,49,70,140,30.7,35.1
30.1,200,49,67,137,30.9,35.1
30,201,48,69,137,31.4,35
30.1,199,49,68,135,30.9,35.1
30.1,201,48,67,135,31.3,35.1
30.3,201,48,68,138,31.1,35.3
30.1,200,49,68,136,31.2,35.1
29.8,199,48,67,134,31.5,34.8
29.6,201,49,67,136,31.8,34.6
29,199,48,67,137,32.3,34
29,199,48,67,135,32.5,34
29.3,199,48,68,135,32.6,34.3
29.7,199,48,68,136,33.3,34.7
30.1,200,48,69,138,32.7,35.1
30.2,199,48,67,133,31,35.2
30.1,200,47,67,134,31.8,35.1
30.1,199,48,67,136,31.2,35.1
30.2,199,48,68,136,32,35.2
29.5,199,48,68,134,32.3,34.5
29.3,200,48,67,133,32.3,34.3
29.3,199,47,67,134,32.4,34.3
29.4,200,48,69,135,32.4,34.4
29.6,200,49,68,136,32.9,34.6
28.7,199,47,66,134,34,33.7
28.7,200,48,66,132,35.1,33.7
28.8,201,47,66,111,33.8,33.8
29,199,48,67,135,33.5,34
29.5,200,47,66,133,32.7,34.5
30,196,47,65,133,32.7,35
30.5,200,47,66,133,31.6,35.5
30.8,200,47,67,135,30.4,35.8
30.8,200,48,66,132,30.1,35.8
30.6,201,47,66,131,30.7,35.6
30.8,201,47,66,137,30.4,35.8
30.8,200,48,67,132,31.1,35.8
31.3,200,47,66,133,30.6,36.3
31.8,200,48,67,135,29.7,36.8
32.3,200,47,55,132,29.7,37.3
32.4,201,48,66,133,28.1,37.4
32.4,199,47,55,111,28.7,37.4
32,202,48,67,134,28.1,37
32.2,201,47,66,133,29.4,37.2
32.4,201,39,65,133,29.2,37.4
32.6,201,48,67,134,28.2,37.6
32.7,200,47,66,134,28.2,37.7
32.3,201,47,65,111,29.3,37.3
31.9,199,48,67,135,28.9,36.9
31.3,199,48,66,135,29.3,36.3
30.1,199,47,65,135,31.3,35.1
29.7,199,48,66,133,32.3,34.7
29.5,199,47,67,135,32.4,34.5
29.5,199,47,66,132,31.8,34.5
29.6,197,48,66,132,32.3,34.6
29.7,199,47,67,135,32,34.7
29.7,199,47,66,135,32.2,34.7
29.8,199,47,66,133,32.1,34.8
30,199,47,66,134,31.6,35
29.8,200,47,66,132,31.9,34.8
29.9,199,47,66,131,31.9,34.9
30,199,47,67,131,31.6,35
30.4,200,47,65,133,31.5,35.4
30.5,200,47,55,111,30.7,35.5
30.5,200,48,66,135,31,35.5
30.7,199,48,67,134,31.1,35.7
30.5,200,48,67,132,31.3,35.5
30.5,199,47,66,131,31.5,35.5
30.3,200,47,66,131,31.1,35.3
29.8,200,47,66,134,31,34.8
29.7,200,48,66,133,32.1,34.7
29.5,200,48,67,132,32.8,34.5
29.4,199,47,65,111,32.3,34.4
29,199,47,55,111,32.7,34
29,201,47,66,132,32.8,34
29,200,48,65,131,33.1,34
29.7,201,39,55,111,33.9,34.7
30.1,200,48,67,134,32.9,35.1
30.6,201,47,55,131,31.3,35.6
30.6,200,39,67,132,31.6,35.6
30.6,201,47,66,134,30.8,35.6
30.6,202,47,66,133,31.6,35.6
30.5,202,47,55,132,30.9,35.5
30.4,202,39,55,111,31.8,35.4
30.3,200,47,66,132,31.9,35.3
29.8,200,47,66,133,32.1,34.8
29.3,201,47,65,111,32.6,34.3
29.3,200,47,55,131,33.4,34.3
29.5,202,39,55,131,33.8,34.5
29.9,201,47,66,111,34.3,34.9
29.9,201,39,55,111,32.3,34.9
30,201,47,66,132,33.3,35
30.2,202,47,65,111,33.7,35.2
30.4,201,47,65,132,32.7,35.4
30.6,200,39,55,111,32,35.6
30.6,201,39,55,111,32.9,35.6
30.8,199,39,55,111,33.5,35.8
31.3,200,39,55,111,31.2,36.3
31.6,202,47,66,111,29.7,36.6
32,203,39,55,131,28.9,37
32.2,202,47,55,111,29.8,37.2
32.7,202,39,55,111,28.9,37.7
32.9,203,39,55,131,28.5,37.9
33,208,39,66,134,27.8,38
32.8,206,39,55,111,27.3,37.8
32.4,206,47,55,111,28.8,37.4
31.4,206,47,65,111,28.7,36.4
30.9,206,39,55,111,29.5,35.9
31.2,207,39,65,131,29.7,36.2
31.5,208,39,55,111,29.3,36.5
31.8,208,39,55,111,28.6,36.8
32.3,208,39,55,131,29.9,37.3
32.7,208,47,55,111,27.4,37.7
32.8,208,47,55,131,27.3,37.8
32.7,208,39,55,111,27.8,37.7
32.4,209,39,66,111,28.4,37.4
32.2,209,39,55,111,28.2,37.2
32.1,208,47,66,132,29.3,37.1
31.8,210,39,65,132,28.4,36.8
31.3,210,39,55,111,28.8,36.3
30.9,208,39,55,111,29.4,35.9
30.7,209,47,65,111,29.8,35.7
30.6,211,39,55,111,30.9,35.6
30.1,209,39,55,111,30,35.1
29.8,210,39,55,111,30.9,34.8
29.5,211,39,55,131,31.5,34.5
29.4,210,39,55,111,32.2,34.4
29.6,212,47,65,132,32,34.6
29.8,211,39,55,111,31.9,34.8
30,211,39,55,111,32,35
30.2,212,39,55,111,32.4,35.2
30.3,211,39,55,111,31.7,35.3
30.4,213,39,55,111,31,35.4
30.1,212,39,55,111,31.6,35.1
30,211,39,65,111,30.8,35
29.8,211,39,55,111,31.6,34.8
29.4,209,39,55,111,31,34.4
28.9,209,39,55,111,32.1,33.9
28.6,208,39,55,111,32.2,33.6
28.6,208,39,55,111,32.9,33.6
28.8,209,39,55,111,32.9,33.8
28.8,208,39,55,111,33,33.8
28.9,208,39,55,111,33.6,33.9
28.9,208,39,55,111,33.1,33.9
28.8,208,39,55,111,33.1,33.8
28.8,208,39,55,111,33.5,33.8
29,207,39,55,111,33.9,34
28.8,207,39,55,111,33.5,33.8
28.8,206,39,55,111,33.6,33.8
28.8,207,39,55,111,32.6,33.8
28.7,205,39,55,111,33.3,33.7
28.4,205,39,55,111,32.8,33.4
28.2,205,39,55,111,33.7,33.2
28.1,204,39,55,111,34.3,33.1
28.3,205,39,55,111,34,33.3
28.5,205,39,55,111,34.2,33.5
28.9,205,39,55,111,33.3,33.9
28.8,206,39,55,111,32.8,33.8
28.5,205,39,55,111,33.1,33.5
28,205,39,55,111,34,33
27.7,204,39,55,111,34.5,32.7
27.2,205,39,55,111,35.3,32.2
27.1,203,39,55,111,36.7,32.1
27.7,205,39,55,111,36.8,32.7
28.2,205,39,55,111,36.1,33.2
28.6,205,39,55,111,34.7,33.6
28.7,204,39,55,111,33.7,33.7
28.6,205,39,55,111,33.9,33.6
28.6,205,39,55,111,33.3,33.6
28.6,205,39,55,111,33.4,33.6
28.7,205,39,55,111,33.3,33.7
28.5,205,39,55,111,33,33.5
28.3,205,39,55,111,33.6,33.3
28.4,205,39,55,111,33.6,33.4
28.4,205,39,55,111,33,33.4
28.7,206,39,55,111,32.9,33.7
28.9,205,39,55,111,33,33.9
29.1,205,39,55,111,32.7,34.1
29.4,205,39,55,111,33.2,34.4
29.3,205,39,55,111,32,34.3
29.3,206,39,55,111,32.2,34.3
29.1,205,39,55,111,32,34.1
28.9,205,39,55,111,32,33.9
28.6,205,39,55,111,32.5,33.6
28.3,205,39,55,111,33.1,33.3
28.3,205,39,55,111,33.8,33.3
28.4,205,39,55,110,33.6,33.4
28.8,206,39,55,110,33.3,33.8
29,205,39,55,110,32.3,34
29.3,205,39,55,110,31.9,34.3
29.2,205,39,55,111,32.9,34.2
29.4,206,39,55,111,32.6,34.4
29.5,205,39,55,110,32,34.5
29,207,39,55,111,32.7,34
29.1,206,39,55,110,33.1,34.1
29.8,206,39,55,110,32.6,34.8
30.3,205,39,55,110,31.6,35.3
31,205,39,55,110,31.1,36
31.5,205,39,55,110,29.2,36.5
31.9,205,39,55,110,30.3,36.9
32.3,206,39,55,110,28.7,37.3
32.7,205,39,55,110,27.6,37.7
33.2,204,39,55,110,27.7,38.2
33.5,205,39,55,110,26.1,38.5
33.5,204,39,55,111,25.6,38.5
33.5,205,39,55,110,26.4,38.5
33.6,205,39,55,110,27.3,38.6
33.7,204,39,55,110,26.3,38.7
33.6,203,39,55,110,26.2,38.6
33.2,205,39,55,110,26.1,38.2
32.4,204,39,55,110,26.1,37.4
32,204,39,55,111,26.5,37
32,204,39,55,111,26.7,37
31.9,204,39,55,111,26.6,36.9
31.9,203,39,55,110,26.6,36.9
31.9,200,39,55,110,27,36.9
32.1,201,39,55,111,27.6,37.1
32.3,199,39,55,111,26.9,37.3
32.7,200,39,55,110,26.9,37.7
33.1,199,39,55,111,27.3,38.1
33.2,200,39,55,111,27.5,38.2
32.9,200,39,55,111,27.9,37.9
32.9,200,39,55,110,28,37.9
33,203,39,55,111,29.4,38
33.2,208,39,55,111,29.4,38.2
33.4,212,39,55,110,25.6,38.4
33.3,213,39,55,111,25.8,38.3
33.2,215,39,55,110,26.2,38.2
32.9,215,39,55,111,25.8,37.9
32.5,216,39,55,111,25.6,37.5
32.3,216,39,55,111,26.3,37.3
32.2,217,39,55,111,26,37.2
32,219,39,55,111,26.3,37
32,218,39,55,111,27.6,37
31.8,218,39,55,110,26.9,36.8
31.6,218,39,55,111,27.2,36.6
31.1,219,39,55,111,28.2,36.1
30.7,218,39,55,111,28.9,35.7
30.8,217,39,55,111,29.4,35.8
31.1,218,39,55,111,29,36.1
31.3,217,39,55,111,29.6,36.3
31.9,219,39,55,111,28.4,36.9
32.4,219,39,55,110,27.3,37.4
32.7,218,39,55,111,27.4,37.7
32.9,219,39,55,111,25.3,37.9
32.2,220,39,55,111,25.5,37.2
31.3,219,39,55,111,26.6,36.3
31.3,219,39,55,111,27.7,36.3
31.5,216,39,55,111,27.5,36.5
31.8,219,39,55,111,27.4,36.8
31.8,219,39,55,111,27.4,36.8
31.5,220,39,55,111,28.9,36.5
31.5,219,39,55,111,28.2,36.5
31.5,218,39,55,110,28.5,36.5
31.8,220,39,55,111,27.4,36.8
31.9,218,39,55,110,27,36.9
31.7,218,39,55,111,27.9,36.7
31.1,219,39,55,111,28.2,36.1
30.8,218,39,55,111,29.6,35.8
31.1,219,39,55,111,29.4,36.1
31.3,219,39,55,111,28.7,36.3
31.8,219,39,55,111,28.6,36.8
32.3,219,39,55,111,27.2,37.3
33,218,39,55,111,28.3,38
33.5,219,39,55,110,25.4,38.5
33.7,218,39,55,111,24.1,38.7
33.9,216,39,55,111,25,38.9
34.2,218,39,55,111,23.2,39.2
33.9,218,39,55,111,23.5,38.9
33.7,218,39,55,111,24.9,38.7
33.9,218,39,55,110,24.4,38.9
34.3,217,39,55,111,24.1,39.3
34.3,216,39,55,111,23.8,39.3
34.3,216,39,55,110,23.5,39.3
34.3,216,39,55,111,23.6,39.3
33.9,215,39,55,110,24.3,38.9
33.7,216,39,55,110,24.4,38.7
33.4,215,39,55,110,23.6,38.4
33.4,216,39,55,111,23.8,38.4
33.3,215,39,55,111,23.5,38.3
33.4,215,39,55,111,23.5,38.4
33.5,216,39,55,111,23.6,38.5
33.1,215,39,55,111,23.8,38.1
33.1,215,39,55,110,24,38.1
33.3,216,39,55,111,25.4,38.3
32.9,215,39,55,110,24.2,37.9
32.5,214,39,55,111,26,37.5
31.4,215,39,55,111,27.4,36.4
31,213,39,55,111,28,36
31.4,214,39,55,110,27.3,36.4
31.9,213,39,55,111,28,36.9
32,215,39,55,111,26.4,37
32.4,213,39,55,110,27.9,37.4
32.9,210,39,55,110,26.4,37.9
33,210,39,55,111,24.7,38
33.2,211,39,55,110,24.2,38.2
33.5,208,39,55,111,24.6,38.5
33.9,207,39,55,111,23.5,38.9
33.9,207,39,55,111,23.6,38.9
34.2,207,39,55,110,23,39.2
34.4,207,39,55,111,23.5,39.4
33.9,207,39,55,110,22.8,38.9
33.7,207,39,55,110,23.4,38.7
33.7,207,39,55,110,23.6,38.7
33.7,206,39,55,110,23.9,38.7
33.7,206,39,55,111,23.5,38.7
33.6,204,39,55,110,23.5,38.6
33.8,207,39,55,110,23.3,38.8
33.7,207,39,55,110,23.4,38.7
33.3,207,39,55,110,23.3,38.3
32.9,208,39,55,110,23.4,37.9
