Soil Temperature,N,P,K,Moisture,Humidity,Ambient Temperature
30.1,30,122,171,82,27.8,35.1
30,31,119,173,86,28.9,35
29.8,29,119,169,86,23.8,34.8
29.7,29,118,164,76,29.1,34.7
29.8,31,118,166,72,20,34.8
29.8,29,119,166,79,20,34.8
29.7,29,122,171,79,20,34.7
29.5,30,121,169,86,33.2,34.5
29.5,29,118,166,76,20,34.5
29.5,29,121,173,90,20,34.5
29.5,31,118,166,79,20,34.5
29.5,31,119,166,76,30.3,34.5
29.5,30,119,167,69,24.4,34.5
29.7,29,118,161,72,20,34.7
29.8,30,123,171,79,20,34.8
29.8,29,119,166,82,20,34.8
29.8,30,117,162,72,49.2,34.8
29.8,30,119,167,86,20,34.8
29.8,30,119,169,82,20,34.8
29.7,31,121,171,86,20,34.7
29.7,29,119,162,79,35,34.7
29.7,29,121,171,79,49.3,34.7
29.8,31,119,166,82,20,34.8
29.7,30,118,164,72,37.1,34.7
29.6,30,121,169,82,43.4,34.6
29.5,29,118,166,76,49.3,34.5
29.5,30,119,164,72,77.6,34.5
29.4,30,119,167,69,30.4,34.4
29.4,31,122,173,90,20,34.4
29.4,30,119,161,79,20,34.4
29.4,31,119,167,79,16.9,34.4
29.4,30,119,166,76,16.9,34.4
29.3,29,117,164,82,77.7,34.3
29.4,28,117,166,79,37.2,34.4
29.3,30,119,167,79,30.4,34.3
29.1,31,119,162,69,33.4,34.1
29.1,29,117,162,66,33.4,34.1
29.1,31,119,164,69,31.9,34.1
29,30,119,167,82,25,34
29,29,118,169,76,26.2,34
28.9,29,121,169,79,30.6,33.9
28.9,29,118,166,90,29.4,33.9
28.9,31,115,161,69,24.7,33.9
29,29,122,167,69,30.5,34
29,28,115,164,79,28.2,34
29.1,30,119,169,79,26.2,34.1
29,29,118,164,69,30.5,34
29,29,116,164,76,31.9,34
28.9,29,121,169,79,25.1,33.9
28.9,29,122,171,76,26.3,33.9
28.8,29,118,167,69,25.1,33.8
28.8,29,115,162,72,28.3,33.8
28.8,30,115,162,66,25.1,33.8
28.8,29,116,157,56,28.3,33.8
28.9,28,118,161,62,26.3,33.9
28.9,30,113,157,59,49.6,33.9
28.7,28,116,162,69,20,33.7
28.7,29,115,157,56,21.3,33.7
28.5,28,116,164,66,78,33.5
